id_paradero,id_parada,id_ruta,nro_parada,nombre_ruta,codigo_ruta,tipo_ruta,empresa,longitud,latitud,recorrido,sistema_ruta,tipo_parada,objectid
54097,90183036,90183,36,ÁVILA-IGLESIA CATALUÑA,102,DIRECTA CENTRO,COOTRANSCATALUÑA,-75.55563218,6.23527007,DESTINO-ORIGEN,6A,REGLAMENTARIA,1455
51589,90093033,90093,33,LAS FLORES-MORAVIA-CENTRO,255A,DIRECTA CENTRO,RÁPIDO SAN CRISTÓBAL,-75.59832542,6.27763572,ORIGEN-DESTINO,2A,REGLAMENTARIA,1456
51810,90077005,90077,5,AURES IZQUIERDA,253I,DIRECTA CENTRO,PALENQUE ROBLEDAL,-75.59337366,6.28662943,ORIGEN-DESTINO,2A,REGLAMENTARIA,1457
52899,90010062,90010,62,COMERCIAL HOTELERA IZQUIERDA,305,CIRCULAR,INVETRANS,-75.57317314,6.25223054,DESTINO-ORIGEN,"CIRCULAR 304, 305, 308, 308D, 309, 309D",REGLAMENTARIA,1458
52124,90106012,90106,12,PILARICA,254IB_TV 73,INTEGRADA,TRANSPORTE MEDELLÍN CASTILLA,-75.58656924,6.28153175,ORIGEN-DESTINO,2B,REGLAMENTARIA,1459
51896,90094006,90094,6,CLÍNICA,260CL,DIRECTA CENTRO,PALENQUE ROBLEDAL,-75.59156172,6.2837631,ORIGEN-DESTINO,2A,REGLAMENTARIA,1460
52342,90080025,90080,25,PICACHO,254,DIRECTA CENTRO,TRANSPORTE MEDELLÍN CASTILLA,-75.58247023,6.25659159,ORIGEN-DESTINO,2A,REGLAMENTARIA,1461
52174,90061024,90061,24,BLANQUIZAL CALAZANÍA,246C,DIRECTA CENTRO,COOTRANSBLAN,-75.58520159,6.2606621,DESTINO-ORIGEN,2A,REGLAMENTARIA,1462
50045,90090001,90090,1,DERECHA VEREDA BOQUERÓN - PARQUE SAN CRISTÓBAL,255V3,DIRECTA NO CENTRO,RÁPIDO SAN CRISTÓBAL,-75.66050712,6.32475561,ORIGEN-DESTINO,2A,REGLAMENTARIA,1463
53759,90007025,90007,25,DIRECTA CIRCULAR,310,CIRCULAR,COONATRA,-75.56031425,6.2440635,ORIGEN-DESTINO,"CIRCULAR COONATRA 300, 301, 310, 311",REGLAMENTARIA,1464
