objectid;direccion;localizacion;link_foto;link_detalle;longitud;latitud
52;CR 49 CL 7 SUR;AGUACATALA;HTTPS://WWW.MEDELLIN.GOV.CO/SIMM/CAMARAS-CCTV/IMAGEN14.JPG;HTTPS://WWW.MEDELLIN.GOV.CO/SIMM/;-7558036692;619725708
53;CR 65 CL 55;CARLOS E. RESTREPO;HTTPS://WWW.MEDELLIN.GOV.CO/SIMM/CAMARAS-CCTV/IMAGEN50.JPG;HTTPS://WWW.MEDELLIN.GOV.CO/SIMM/;-7557546;6258761
54;CR 50 CL 25;POSTOBÓN;HTTPS://WWW.MEDELLIN.GOV.CO/SIMM/CAMARAS-CCTV/IMAGEN51.JPG;HTTPS://WWW.MEDELLIN.GOV.CO/SIMM/;-7557653;622679
55;CR 50 CL 7 SUR;COLCAFÉ;HTTPS://WWW.MEDELLIN.GOV.CO/SIMM/CAMARAS-CCTV/IMAGEN52.JPG;HTTPS://WWW.MEDELLIN.GOV.CO/SIMM/;-75580197;6201016
56;CL 12 SUR CR 48B;DEPRIMIDO GLORIETA AGUACATALA;HTTPS://WWW.MEDELLIN.GOV.CO/SIMM/CAMARAS-CCTV/IMAGEN53.JPG;HTTPS://WWW.MEDELLIN.GOV.CO/SIMM/;-75580425;6194969
57;CR 59 CL 44;BARRIO TRISTE;HTTPS://WWW.MEDELLIN.GOV.CO/SIMM/CAMARAS-CCTV/IMAGEN55.JPG;HTTPS://WWW.MEDELLIN.GOV.CO/SIMM/;-75577607;6247047
58;CR 62 CL 49;BOMBEROS LIBERTA;HTTPS://WWW.MEDELLIN.GOV.CO/SIMM/CAMARAS-CCTV/IMAGEN56.JPG;HTTPS://WWW.MEDELLIN.GOV.CO/SIMM/;-75577557;6252721
59;CR 52 CL 3 SUR;CRISTO REY;HTTPS://WWW.MEDELLIN.GOV.CO/SIMM/CAMARAS-CCTV/IMAGEN57.JPG;HTTPS://WWW.MEDELLIN.GOV.CO/SIMM/;-7558671;6205368
60;CR 64C CL 102E;BELALCÁZAR;HTTPS://WWW.MEDELLIN.GOV.CO/SIMM/CAMARAS-CCTV/IMAGEN58.JPG;HTTPS://WWW.MEDELLIN.GOV.CO/SIMM/;-75567143;629636
61;CR 65 CL 97;EPS SURA CASTILLA;HTTPS://WWW.MEDELLIN.GOV.CO/SIMM/CAMARAS-CCTV/IMAGEN59.JPG;HTTPS://WWW.MEDELLIN.GOV.CO/SIMM/;-75569573;6291327
62;CR 72B CL 73;PILARICA;HTTPS://WWW.MEDELLIN.GOV.CO/SIMM/CAMARAS-CCTV/IMAGEN62.JPG;HTTPS://WWW.MEDELLIN.GOV.CO/SIMM/;-75583475;6273433
63;CR 64C CL 58;UNIVERSIDAD NACIONAL;HTTPS://WWW.MEDELLIN.GOV.CO/SIMM/CAMARAS-CCTV/IMAGEN63.JPG;HTTPS://WWW.MEDELLIN.GOV.CO/SIMM/;-75575095;6262724
64;CR 42 CL 31A;ANGUS BRANGUS;HTTPS://WWW.MEDELLIN.GOV.CO/SIMM/CAMARAS-CCTV/IMAGEN65.JPG;HTTPS://WWW.MEDELLIN.GOV.CO/SIMM/;-75566826;6233048
65;CR 22 CL 16;CHUSCALITO;HTTPS://WWW.MEDELLIN.GOV.CO/SIMM/CAMARAS-CCTV/IMAGEN66.JPG;HTTPS://WWW.MEDELLIN.GOV.CO/SIMM/;-7555388;6217059
66;CR 43A CL 14;CASTROPOL;HTTPS://WWW.MEDELLIN.GOV.CO/SIMM/CAMARAS-CCTV/IMAGEN67.JPG;HTTPS://WWW.MEDELLIN.GOV.CO/SIMM/;-75569991;6214372
67;TV 39B CL 70;GLORIETA BULERÍAS;HTTPS://WWW.MEDELLIN.GOV.CO/SIMM/CAMARAS-CCTV/IMAGEN69.JPG;HTTPS://WWW.MEDELLIN.GOV.CO/SIMM/;-75590206;6239405
68;CR 47 CL 58;VILLA NUEVA;HTTPS://WWW.MEDELLIN.GOV.CO/SIMM/CAMARAS-CCTV/IMAGEN70.JPG;HTTPS://WWW.MEDELLIN.GOV.CO/SIMM/;-75562365;625482
69;CR 49 CL 17 SUR;TUGÓ;HTTPS://WWW.MEDELLIN.GOV.CO/SIMM/CAMARAS-CCTV/IMAGEN71.JPG;HTTPS://WWW.MEDELLIN.GOV.CO/SIMM/;-75582979;6188816
70;CR 48 CL 16 SUR;FORD LAS VEGAS;HTTPS://WWW.MEDELLIN.GOV.CO/SIMM/CAMARAS-CCTV/IMAGEN72.JPG;HTTPS://WWW.MEDELLIN.GOV.CO/SIMM/;-75580325;6190693
71;CR 38 CL 9 SUR;CENT C. SANTA FE;HTTPS://WWW.MEDELLIN.GOV.CO/SIMM/CAMARAS-CCTV/IMAGEN73.JPG;HTTPS://WWW.MEDELLIN.GOV.CO/SIMM/;-7557274;619438
72;CR 48 CL 20;CLINICA CLOFAN;HTTPS://WWW.MEDELLIN.GOV.CO/SIMM/CAMARAS-CCTV/IMAGEN74.JPG;HTTPS://WWW.MEDELLIN.GOV.CO/SIMM/;-7557513;6225478
73;CR 57 CL 50;SENA;HTTPS://WWW.MEDELLIN.GOV.CO/SIMM/CAMARAS-CCTV/IMAGEN76.JPG;HTTPS://WWW.MEDELLIN.GOV.CO/SIMM/;-75575091;6253584
