id_ruta;nombre;codigo;sistema;tipo;empresa;longitud;recorrido;from_date
90291;BARRIO CRISTÓBAL-ORIENTAL;200;8A;DIRECTA CENTRO;CONDUCCIONES AMÉRICA;1563253;ORIGEN_DESTINO;01/08/2018 0:00
90299;BELENCITO-CORAZÓN-ORIENTAL;203 BELENCITO;8A;DIRECTA CENTRO;CONDUCCIONES AMÉRICA;1805367;ORIGEN_DESTINO;01/08/2018 0:00
90143;BELÉN LA GLORIA;172;3A;DIRECTA CENTRO;COOTRABEL;2665905;ORIGEN_DESTINO;05/06/2020 0:00
90145;BELÉN LA NUBIA;178;3A;DIRECTA CENTRO;COOTRABEL;2451223;ORIGEN_DESTINO;28/03/2022 0:00
90141;BELÉN LAS PLAYAS;170;3A;DIRECTA CENTRO;COOTRABEL;2224182;ORIGEN_DESTINO;28/03/2022 0:00
90236;BELLO ORIENTE;57;6E;DIRECTA CENTRO;COOPETRANSA;2751942;ORIGEN_DESTINO;27/08/2024 0:00
90057;BLANQUIZAL;246;2A;DIRECTA CENTRO;COOTRANSBLAN;1777377;ORIGEN_DESTINO;01/04/2020 0:00
90061;BLANQUIZAL CALAZANÍA;246C;2A;DIRECTA CENTRO;COOTRANSBLAN;1496421;ORIGEN_DESTINO;01/04/2020 0:00
90059;BLANQUIZAL CALAZANÍA DIRECTA;246D;2A;DIRECTA CENTRO;COOTRANSBLAN;1777827;ORIGEN_DESTINO;27/08/2024 0:00
90063;BLANQUIZAL INTEGRADA;246I;2A;INTEGRADA;COOTRANSBLAN;983068;ORIGEN_DESTINO;27/08/2024 0:00
90064;BLANQUIZAL INTEGRADA;246II;2A;INTEGRADA;COOTRANSBLAN;935488;ORIGEN_DESTINO;27/08/2024 0:00
90353;BOQUERON CENTRO HORARIO ESPECIAL;255 V3 HOR ESP;2A;DIRECTA CENTRO;RÁPIDO SAN CRISTÓBAL;3916348;ORIGEN_DESTINO;27/08/2024 0:00
